src,src_label,rel,dst,dst_label,eventName,eventSource,eventTime,sourceIP,outcome,issuedAt
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,cloudfront.amazonaws.com,Service,ListCloudFrontOriginAccessIdentities,cloudfront.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,SUCCESS,
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,cloudfront.amazonaws.com,Service,ListStreamingDistributions,cloudfront.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,SUCCESS,
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,cloudfront.amazonaws.com,Service,ListDistributions,cloudfront.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,SUCCESS,
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,cloudfront.amazonaws.com,Service,ListStreamingDistributions,cloudfront.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,SUCCESS,
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,cloudfront.amazonaws.com,Service,ListStreamingDistributions,cloudfront.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,SUCCESS,
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,cloudfront.amazonaws.com,Service,ListCloudFrontOriginAccessIdentities,cloudfront.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,SUCCESS,
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,apigateway.amazonaws.com,Service,GetClientCertificates,apigateway.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,AccessDenied,
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,waf.amazonaws.com,Service,GetChangeToken,waf.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,AccessDenied,
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,snowball.amazonaws.com,Service,ListClusters,snowball.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,AccessDenied,
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,datapipeline.amazonaws.com,Service,ListPipelines,datapipeline.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,AccessDenied,
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,securityhub.amazonaws.com,Service,GetInvitationsCount,securityhub.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,SUCCESS,
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,cloudfront.amazonaws.com,Service,ListFieldLevelEncryptionProfiles,cloudfront.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,SUCCESS,
AKIA3Z2XBVUDFQ9TU4MD,Principal,ACCESS,cloudfront.amazonaws.com,Service,ListCloudFrontOriginAccessIdentities,cloudfront.amazonaws.com,2020-09-21T22:22:52Z,205.8.181.128,SUCCESS,
