id,kind,service
cloudfront.amazonaws.com,Service,cloudfront.amazonaws.com
apigateway.amazonaws.com,Service,apigateway.amazonaws.com
waf.amazonaws.com,Service,waf.amazonaws.com
snowball.amazonaws.com,Service,snowball.amazonaws.com
datapipeline.amazonaws.com,Service,datapipeline.amazonaws.com
securityhub.amazonaws.com,Service,securityhub.amazonaws.com
robomaker.amazonaws.com,Service,robomaker.amazonaws.com
servicecatalog.amazonaws.com,Service,servicecatalog.amazonaws.com
ecs.amazonaws.com,Service,ecs.amazonaws.com
secretsmanager.amazonaws.com,Service,secretsmanager.amazonaws.com
logs.amazonaws.com,Service,logs.amazonaws.com
directconnect.amazonaws.com,Service,directconnect.amazonaws.com
sagemaker.amazonaws.com,Service,sagemaker.amazonaws.com
appmesh.amazonaws.com,Service,appmesh.amazonaws.com
sns.amazonaws.com,Service,sns.amazonaws.com
guardduty.amazonaws.com,Service,guardduty.amazonaws.com
organizations.amazonaws.com,Service,organizations.amazonaws.com
datasync.amazonaws.com,Service,datasync.amazonaws.com
dynamodb.amazonaws.com,Service,dynamodb.amazonaws.com
transcribe.amazonaws.com,Service,transcribe.amazonaws.com
redshift.amazonaws.com,Service,redshift.amazonaws.com
acm.amazonaws.com,Service,acm.amazonaws.com
amazonmq.amazonaws.com,Service,amazonmq.amazonaws.com
cloudhsm.amazonaws.com,Service,cloudhsm.amazonaws.com
support.amazonaws.com,Service,support.amazonaws.com
medialive.amazonaws.com,Service,medialive.amazonaws.com
lightsail.amazonaws.com,Service,lightsail.amazonaws.com
es.amazonaws.com,Service,es.amazonaws.com
license-manager.amazonaws.com,Service,license-manager.amazonaws.com
cloud9.amazonaws.com,Service,cloud9.amazonaws.com
rds.amazonaws.com,Service,rds.amazonaws.com
shield.amazonaws.com,Service,shield.amazonaws.com
appsync.amazonaws.com,Service,appsync.amazonaws.com
kafka.amazonaws.com,Service,kafka.amazonaws.com
ec2.amazonaws.com,Service,ec2.amazonaws.com
worklink.amazonaws.com,Service,worklink.amazonaws.com
translate.amazonaws.com,Service,translate.amazonaws.com
cloudsearch.amazonaws.com,Service,cloudsearch.amazonaws.com
mediaconnect.amazonaws.com,Service,mediaconnect.amazonaws.com
mediatailor.amazonaws.com,Service,mediatailor.amazonaws.com
athena.amazonaws.com,Service,athena.amazonaws.com
eks.amazonaws.com,Service,eks.amazonaws.com
elasticache.amazonaws.com,Service,elasticache.amazonaws.com
ds.amazonaws.com,Service,ds.amazonaws.com
iotanalytics.amazonaws.com,Service,iotanalytics.amazonaws.com
codestar.amazonaws.com,Service,codestar.amazonaws.com
pinpoint.amazonaws.com,Service,pinpoint.amazonaws.com
cloudtrail.amazonaws.com,Service,cloudtrail.amazonaws.com
events.amazonaws.com,Service,events.amazonaws.com
cloudformation.amazonaws.com,Service,cloudformation.amazonaws.com
codebuild.amazonaws.com,Service,codebuild.amazonaws.com
firehose.amazonaws.com,Service,firehose.amazonaws.com
route53resolver.amazonaws.com,Service,route53resolver.amazonaws.com
config.amazonaws.com,Service,config.amazonaws.com
storagegateway.amazonaws.com,Service,storagegateway.amazonaws.com
batch.amazonaws.com,Service,batch.amazonaws.com
discovery.amazonaws.com,Service,discovery.amazonaws.com
glue.amazonaws.com,Service,glue.amazonaws.com
xray.amazonaws.com,Service,xray.amazonaws.com
lambda.amazonaws.com,Service,lambda.amazonaws.com
waf-regional.amazonaws.com,Service,waf-regional.amazonaws.com
sms.amazonaws.com,Service,sms.amazonaws.com
codepipeline.amazonaws.com,Service,codepipeline.amazonaws.com
kms.amazonaws.com,Service,kms.amazonaws.com
route53.amazonaws.com,Service,route53.amazonaws.com
s3.amazonaws.com,Service,s3.amazonaws.com
dms.amazonaws.com,Service,dms.amazonaws.com
fsx.amazonaws.com,Service,fsx.amazonaws.com
comprehend.amazonaws.com,Service,comprehend.amazonaws.com
dax.amazonaws.com,Service,dax.amazonaws.com
kinesisvideo.amazonaws.com,Service,kinesisvideo.amazonaws.com
kinesis.amazonaws.com,Service,kinesis.amazonaws.com
amplify.amazonaws.com,Service,amplify.amazonaws.com
ecr.amazonaws.com,Service,ecr.amazonaws.com
mediapackage.amazonaws.com,Service,mediapackage.amazonaws.com
route53domains.amazonaws.com,Service,route53domains.amazonaws.com
