event_id,category,event_type,event_source,raw_event_name,event_time,region,source_ip,user_agent,outcome,raw_log_ref
f146e1b4-5796-40b0-aa15-ba54d7d823d5,EVENT,READ,cloudfront.amazonaws.com,ListCloudFrontOriginAccessIdentities,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,SUCCESS,flaws_cloudtrail19.json#eventID=f146e1b4-5796-40b0-aa15-ba54d7d823d5
8c58977-02ee-4dc3-8784-7f4bbe90c591,EVENT,READ,cloudfront.amazonaws.com,ListStreamingDistributions,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,SUCCESS,flaws_cloudtrail19.json#eventID=8c58977-02ee-4dc3-8784-7f4bbe90c591
e2f01b9a-c3d5-4429-9a98-bc7774fb0c41,EVENT,READ,cloudfront.amazonaws.com,ListDistributions,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,SUCCESS,flaws_cloudtrail19.json#eventID=e2f01b9a-c3d5-4429-9a98-bc7774fb0c41
64220d-0873-4ffb-bb1d-7b9d94c5c773,EVENT,READ,cloudfront.amazonaws.com,ListStreamingDistributions,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,SUCCESS,flaws_cloudtrail19.json#eventID=64220d-0873-4ffb-bb1d-7b9d94c5c773
d35b87ef-fcbf-4091-802f-a6eafdce7132,EVENT,READ,cloudfront.amazonaws.com,ListStreamingDistributions,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,SUCCESS,flaws_cloudtrail19.json#eventID=d35b87ef-fcbf-4091-802f-a6eafdce7132
0f24b61e-747e-42f0-ab44-bd9f3cf08c1b,EVENT,READ,cloudfront.amazonaws.com,ListCloudFrontOriginAccessIdentities,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,SUCCESS,flaws_cloudtrail19.json#eventID=0f24b61e-747e-42f0-ab44-bd9f3cf08c1b
35e8c621-31e9-4b01-9b09-bb60b4b64638,EVENT,READ,apigateway.amazonaws.com,GetClientCertificates,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,FAILURE,flaws_cloudtrail19.json#eventID=35e8c621-31e9-4b01-9b09-bb60b4b64638
992db7f4-8a4b-472a-b983-bd94cab68af7,EVENT,READ,waf.amazonaws.com,GetChangeToken,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,FAILURE,flaws_cloudtrail19.json#eventID=992db7f4-8a4b-472a-b983-bd94cab68af7
5e4cf454-f463-48e7-a5d8-8e080598d97,EVENT,READ,snowball.amazonaws.com,ListClusters,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,FAILURE,flaws_cloudtrail19.json#eventID=5e4cf454-f463-48e7-a5d8-8e080598d97
233fb77a-f7ae-4607-866a-fa5fb5f48035,EVENT,READ,datapipeline.amazonaws.com,ListPipelines,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,FAILURE,flaws_cloudtrail19.json#eventID=233fb77a-f7ae-4607-866a-fa5fb5f48035
6b9529f4-f892-490e-8a48-7a76fa5d4ba4,EVENT,READ,securityhub.amazonaws.com,GetInvitationsCount,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,SUCCESS,flaws_cloudtrail19.json#eventID=6b9529f4-f892-490e-8a48-7a76fa5d4ba4
c86b25f0-aa10-4de1-bc1c-d95372c4eae0,EVENT,READ,cloudfront.amazonaws.com,ListFieldLevelEncryptionProfiles,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,SUCCESS,flaws_cloudtrail19.json#eventID=c86b25f0-aa10-4de1-bc1c-d95372c4eae0
4f98c7fd-c7e2-4aca-92b5-31f663273eed,EVENT,READ,cloudfront.amazonaws.com,ListCloudFrontOriginAccessIdentities,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,SUCCESS,flaws_cloudtrail19.json#eventID=4f98c7fd-c7e2-4aca-92b5-31f663273eed
777ed5e6-ea6d-4808-845b-62297641f0e5,EVENT,READ,robomaker.amazonaws.com,ListDeploymentJobs,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,SUCCESS,flaws_cloudtrail19.json#eventID=777ed5e6-ea6d-4808-845b-62297641f0e5
08d5f168-7650-4175-9675-6482dea8c44b,EVENT,READ,robomaker.amazonaws.com,ListSimulationApplications,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,SUCCESS,flaws_cloudtrail19.json#eventID=08d5f168-7650-4175-9675-6482dea8c44b
2dee6040-6d72-4cef-aa27-1e0f03b6dade,EVENT,READ,servicecatalog.amazonaws.com,ListServiceActions,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,FAILURE,flaws_cloudtrail19.json#eventID=2dee6040-6d72-4cef-aa27-1e0f03b6dade
3c6b05e0-236c-45b9-b5e3-a60210a775953,EVENT,READ,ecs.amazonaws.com,ListTasks,2020-09-21T22:22:52Z,us-east-1,205.8.181.128,Boto3/1.15.2 Python/3.8.2 Linux/5.6.3-arch1-1 Botocore/1.18.2,FAILURE,flaws_cloudtrail19.json#eventID=3c6b05e0-236c-45b9-b5e3-a60210a775953
