identity_id,category,identity_type,identity_state,name,arn,account_id,provider,raw_identity_type,first_seen,last_seen
aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,IAM_USER,STATIC,Level6,arn:aws:iam::811596193553:user/Level6,811596193553,AWS,IAMUser,2020-09-21T22:22:52Z,2020-10-07T14:52:39Z
aws:identity:arn:aws:iam::811596193553:user/backup,IDENTITY,IAM_USER,STATIC,backup,arn:aws:iam::811596193553:user/backup,811596193553,AWS,IAMUser,2020-09-22T02:20:02Z,2020-10-07T21:03:30Z
aws:identity:arn:aws:iam::811596193553:role/aws-service-role/config-multiaccountsetup.amazonaws.com/AWSServiceRoleForConfigMultiAccountSetup,IDENTITY,ROLE,STATIC,AWSServiceRoleForConfigMultiAccountSetup,arn:aws:iam::811596193553:role/aws-service-role/config-multiaccountsetup.amazonaws.com/AWSServiceRoleForConfigMultiAccountSetup,811596193553,AWS,AWS::IAM::Role,2020-09-22T08:38:55Z,2020-10-07T08:39:13Z
aws:identity:arn:aws:iam::811596193553:role/service-role/Level6,IDENTITY,ROLE,STATIC,Level6,arn:aws:iam::811596193553:role/service-role/Level6,811596193553,AWS,AWS::IAM::Role,2020-09-22T14:32:30Z,2020-10-07T14:53:06Z
aws:identity:arn:aws:sts::811596193553:assumed-role/Level6/Level6,IDENTITY,ROLE,SESSION,Level6,arn:aws:sts::811596193553:assumed-role/Level6/Level6,811596193553,AWS,AssumedRole,2020-09-22T14:32:39Z,2020-10-07T14:53:06Z
aws:identity:arn:aws:iam::811596193553:role/aws:ec2-instance,IDENTITY,ROLE,STATIC,aws:ec2-instance,arn:aws:iam::811596193553:role/aws:ec2-instance,811596193553,AWS,Role,2020-09-24T14:19:51Z,2020-10-06T16:57:12Z
aws:identity:arn:aws:sts::811596193553:assumed-role/tests3access/botocore-session-aed6ad4c04,IDENTITY,ROLE,SESSION,botocore-session-aed6ad4c04,arn:aws:sts::811596193553:assumed-role/tests3access/botocore-session-aed6ad4c04,811596193553,AWS,AssumedRole,2020-10-07T20:27:01Z,2020-10-07T20:27:01Z
aws:identity:arn:aws:iam::811596193553:role/service-role/config-role-us-west-2,IDENTITY,ROLE,STATIC,config-role-us-west-2,arn:aws:iam::811596193553:role/service-role/config-role-us-west-2,811596193553,AWS,AWS::IAM::Role,2020-09-22T02:10:54Z,2020-10-07T20:17:38Z
aws:identity:arn:aws:iam::811596193553:role/flaws,IDENTITY,ROLE,STATIC,flaws,arn:aws:iam::811596193553:role/flaws,811596193553,AWS,AWS::IAM::Role,2020-09-21T23:02:39Z,2020-10-07T20:57:09Z
aws:identity:arn:aws:sts::811596193553:assumed-role/aws:ec2-instance/i-aa2d3b42e5c6e801a,IDENTITY,ROLE,SESSION,i-aa2d3b42e5c6e801a,arn:aws:sts::811596193553:assumed-role/aws:ec2-instance/i-aa2d3b42e5c6e801a,811596193553,AWS,AssumedRole,2020-09-24T14:19:51Z,2020-10-06T16:57:12Z
aws:identity:arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a,IDENTITY,ROLE,SESSION,i-aa2d3b42e5c6e801a,arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a,811596193553,AWS,AssumedRole,2020-09-23T14:32:04Z,2020-10-05T16:10:46Z
aws:identity:arn:aws:iam::811596193553:role/tests3access,IDENTITY,ROLE,STATIC,tests3access,arn:aws:iam::811596193553:role/tests3access,811596193553,AWS,AWS::IAM::Role,2020-10-06T21:20:48Z,2020-10-07T20:27:01Z
aws:identity:arn:aws:iam::811596193553:root,IDENTITY,ROOT_USER,STATIC,root,arn:aws:iam::811596193553:root,811596193553,AWS,Root,2020-10-06T21:10:45Z,2020-10-07T18:32:38Z
aws:identity:2a8f122264ca7eaa2826,IDENTITY,SERVICE_PRINCIPAL,STATIC,config-multiaccountsetup.amazonaws.com,,811596193553,AWS,AWSService,2020-09-22T08:38:55Z,2020-10-07T08:39:13Z
aws:identity:feb684f2e7affbb490d5,IDENTITY,SERVICE_PRINCIPAL,STATIC,config.amazonaws.com,,811596193553,AWS,AWSService,2020-09-22T02:10:54Z,2020-10-07T20:17:38Z
aws:identity:2898b4f74ca20d4373af,IDENTITY,SERVICE_PRINCIPAL,STATIC,ec2.amazonaws.com,,811596193553,AWS,AWSService,2020-09-21T23:02:39Z,2020-10-07T20:57:09Z
aws:identity:bb89dbfd087c8c0059e1,IDENTITY,SERVICE_PRINCIPAL,STATIC,lambda.amazonaws.com,,811596193553,AWS,AWSService,2020-09-22T14:32:30Z,2020-10-07T14:52:57Z
aws:identity:2e99e6e121d8a39c9429,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,236695825215,,236695825215,AWS,AWSAccount,2020-09-23T08:26:43Z,2020-09-23T08:26:43Z
aws:identity:daae01ceca676869687f,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,296339373664,,296339373664,AWS,AWSAccount,2020-10-01T16:27:38Z,2020-10-01T16:32:23Z
aws:identity:4cbea48eb624a6d9dc9a,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,625320529089,,625320529089,AWS,AWSAccount,2020-09-26T20:06:10Z,2020-09-26T20:25:13Z
aws:identity:83a0764256bc1a325622,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,860105715286,,860105715286,AWS,AWSAccount,2020-09-23T17:21:38Z,2020-09-23T17:21:38Z
aws:identity:60fe37dd82cfb7430387,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,AIDA2MA8Q4K00J01JLINX,,236367900347,AWS,AWSAccount,2020-10-02T11:53:04Z,2020-10-02T11:53:04Z
aws:identity:a17e02daf59d78a6b49f,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,AIDA7PBH9WVK6CZKBY1DW,,884998175495,AWS,AWSAccount,2020-10-02T04:04:23Z,2020-10-02T04:04:23Z
aws:identity:b1cd655b02fcc5167e8b,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,AIDAJDF9XDY4XEZ8R470C,,721608217963,AWS,AWSAccount,2020-09-22T19:07:24Z,2020-09-22T19:07:24Z
aws:identity:513dc505dbfb78acf8f0,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,AIDAKYYT1N8BKWUTKZJH4,,143338447531,AWS,AWSAccount,2020-09-22T09:21:49Z,2020-09-22T09:21:49Z
aws:identity:5c308cee8e4b7d5f4c00,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,AIDAL7MDCAXCI8XXE87WA,,088857597732,AWS,AWSAccount,2020-10-07T20:08:52Z,2020-10-07T20:10:05Z
aws:identity:f7b2170b53b1cfba05e6,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,AIDAQQ7X5AFW92IHWCCB2,,992502824082,AWS,AWSAccount,2020-09-22T11:02:14Z,2020-09-22T11:07:19Z
aws:identity:8ca9c1640faa78d2774d,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,AIDAVFABPH102ZH4LMP0M,,232801464655,AWS,AWSAccount,2020-09-29T13:58:28Z,2020-09-29T15:00:41Z
aws:identity:ac2e4bf727cc501b9f13,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,AIDAZC025HTCGYCX0N8LL,,155876492126,AWS,AWSAccount,2020-09-25T08:45:52Z,2020-09-25T08:45:52Z
aws:identity:2478901aa1145eca5cc4,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,ANONYMOUS_PRINCIPAL,,ANONYMOUS_PRINCIPAL,AWS,AWSAccount,2020-09-22T02:00:13Z,2020-10-07T07:25:33Z
aws:identity:39419ce7893168d7f18a,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,AROA39AHW50Z33HKSJEYL:alexmanelis,,871679816139,AWS,AWSAccount,2020-10-06T18:45:14Z,2020-10-06T18:45:14Z
aws:identity:5449c95235c8007f4cd9,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,AROA4V36P51063SZO5GLT:i-5d328f88c85b81c2b,,901098759953,AWS,AWSAccount,2020-10-06T21:20:48Z,2020-10-07T20:27:01Z
aws:identity:af71447be0ac44579e9e,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,AROAVINBYG6G9SQKWWSK1:alexmanelis,,579117844969,AWS,AWSAccount,2020-10-06T18:43:31Z,2020-10-06T18:43:31Z
aws:identity:04b5365a469c91f8a777,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,null,,446924389035,AWS,AWSAccount,2020-09-23T10:23:39Z,2020-09-23T10:29:34Z
aws:identity:08eb03137f96ba096434,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,null,,444772650584,AWS,AWSAccount,2020-09-25T09:21:47Z,2020-09-25T10:42:39Z
aws:identity:0e647cbbaa9b0023de12,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,null,,910819623065,AWS,AWSAccount,2020-10-04T04:07:16Z,2020-10-04T20:34:14Z
aws:identity:128b1fe24ecab8f9c757,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,null,,921922626553,AWS,AWSAccount,2020-10-01T11:38:10Z,2020-10-01T11:38:10Z
aws:identity:17f7455950f0342b9ce4,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,null,,768864756535,AWS,AWSAccount,2020-10-04T02:08:17Z,2020-10-04T02:27:00Z
aws:identity:1a160749154f0959b370,IDENTITY,UNKNOWN_IDENTITY,UNKNOWN,null,,729918610902,AWS,AWSAccount,2020-10-01T19:38:28Z,2020-10-01T19:38:55Z
