relationship_id,source_id,source_category,relationship_type,target_id,target_category,event_id,evidence_type,confidence
aws:rel:1b77a5b87bfb49a5716e,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,f146e1b4-5796-40b0-aa15-ba54d7d823d5,EVENT,f146e1b4-5796-40b0-aa15-ba54d7d823d5,DIRECT_CLOUDTRAIL,1.0
aws:rel:63b60588f968f13c08b2,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,8c58977-02ee-4dc3-8784-7f4bbe90c591,EVENT,8c58977-02ee-4dc3-8784-7f4bbe90c591,DIRECT_CLOUDTRAIL,1.0
aws:rel:7887995e677856f581bd,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,e2f01b9a-c3d5-4429-9a98-bc7774fb0c41,EVENT,e2f01b9a-c3d5-4429-9a98-bc7774fb0c41,DIRECT_CLOUDTRAIL,1.0
aws:rel:10f8bfa0896932d38509,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,64220d-0873-4ffb-bb1d-7b9d94c5c773,EVENT,64220d-0873-4ffb-bb1d-7b9d94c5c773,DIRECT_CLOUDTRAIL,1.0
aws:rel:6cadc1e65e942a4ab3c0,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,d35b87ef-fcbf-4091-802f-a6eafdce7132,EVENT,d35b87ef-fcbf-4091-802f-a6eafdce7132,DIRECT_CLOUDTRAIL,1.0
aws:rel:12c7346cc2f9112c5884,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,0f24b61e-747e-42f0-ab44-bd9f3cf08c1b,EVENT,0f24b61e-747e-42f0-ab44-bd9f3cf08c1b,DIRECT_CLOUDTRAIL,1.0
aws:rel:e395615aa2f2802e7ee2,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,35e8c621-31e9-4b01-9b09-bb60b4b64638,EVENT,35e8c621-31e9-4b01-9b09-bb60b4b64638,DIRECT_CLOUDTRAIL,1.0
aws:rel:9d338d5fd862906daaf1,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,992db7f4-8a4b-472a-b983-bd94cab68af7,EVENT,992db7f4-8a4b-472a-b983-bd94cab68af7,DIRECT_CLOUDTRAIL,1.0
aws:rel:9ea383c6017c8c6318be,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,5e4cf454-f463-48e7-a5d8-8e080598d97,EVENT,5e4cf454-f463-48e7-a5d8-8e080598d97,DIRECT_CLOUDTRAIL,1.0
aws:rel:3c109e30e8454fef4b7a,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,233fb77a-f7ae-4607-866a-fa5fb5f48035,EVENT,233fb77a-f7ae-4607-866a-fa5fb5f48035,DIRECT_CLOUDTRAIL,1.0
aws:rel:9cd7251c7a6efc3dd38c,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,6b9529f4-f892-490e-8a48-7a76fa5d4ba4,EVENT,6b9529f4-f892-490e-8a48-7a76fa5d4ba4,DIRECT_CLOUDTRAIL,1.0
aws:rel:b1a64a3b602c3cd3feb2,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,c86b25f0-aa10-4de1-bc1c-d95372c4eae0,EVENT,c86b25f0-aa10-4de1-bc1c-d95372c4eae0,DIRECT_CLOUDTRAIL,1.0
aws:rel:db82dd0b77422ce5689f,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,4f98c7fd-c7e2-4aca-92b5-31f663273eed,EVENT,4f98c7fd-c7e2-4aca-92b5-31f663273eed,DIRECT_CLOUDTRAIL,1.0
aws:rel:c0d6cdc9b33b4bccace3,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,777ed5e6-ea6d-4808-845b-62297641f0e5,EVENT,777ed5e6-ea6d-4808-845b-62297641f0e5,DIRECT_CLOUDTRAIL,1.0
aws:rel:39f9e85055e0bdedfc28,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,08d5f168-7650-4175-9675-6482dea8c44b,EVENT,08d5f168-7650-4175-9675-6482dea8c44b,DIRECT_CLOUDTRAIL,1.0
aws:rel:ed74b384f18bbdab8639,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,2dee6040-6d72-4cef-aa27-1e0f03b6dade,EVENT,2dee6040-6d72-4cef-aa27-1e0f03b6dade,DIRECT_CLOUDTRAIL,1.0
aws:rel:17cba90b5ded64a15e85,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,3c6b05e0-236c-45b9-b5e3-a60210a775953,EVENT,3c6b05e0-236c-45b9-b5e3-a60210a775953,DIRECT_CLOUDTRAIL,1.0
aws:rel:c9fec45a4e3ef4d0eff7,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,8fb54aaa-dd89-4bd7-89f6-67cdaf51059,EVENT,8fb54aaa-dd89-4bd7-89f6-67cdaf51059,DIRECT_CLOUDTRAIL,1.0
aws:rel:f98adfd3c6de7964a332,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,e297499c-3362-4226-8a45-2a3e8b10659,EVENT,e297499c-3362-4226-8a45-2a3e8b10659,DIRECT_CLOUDTRAIL,1.0
aws:rel:80989a7f5dec798a7412,aws:identity:arn:aws:iam::811596193553:user/Level6,IDENTITY,PERFORMED,44f547e3-ff6a-4e31-a725-96aeb16a5bd9,EVENT,44f547e3-ff6a-4e31-a725-96aeb16a5bd9,DIRECT_CLOUDTRAIL,1.0
