resource_id,category,resource_type,raw_resource_type,name,arn,service,account_id,region
aws:resource:a40f0309ac10e3f16162,RESOURCE,COMPUTE,AWS::EC2::Instance,14b6a528b915b3c0270e0174982e5ed78052eafd,,ec2,811596193553,eu-west-1
aws:resource:b64b55fff7303d1acabe,RESOURCE,COMPUTE,AWS::EC2::Instance,i-4478871fdbc35f34a,,ec2,811596193553,us-west-2
aws:resource:972b46679b24e8dc59fe,RESOURCE,COMPUTE,AWS::EC2::Instance,i-aa2d3b42e5c6e801a,,ec2,811596193553,us-west-2
aws:resource:e966a3725993c6c268fe,RESOURCE,COMPUTE,AWS::Lambda::Function,Level6,,lambda,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-accounts.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-accounts.apguyver.com,arn:aws:s3:::accounts-accounts.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-accounts.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-accounts.apgyver.com,arn:aws:s3:::accounts-accounts.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-accounts.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-accounts.apparchitect.com,arn:aws:s3:::accounts-accounts.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-accounts.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-accounts.appguyver.com,arn:aws:s3:::accounts-accounts.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-accounts.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-accounts.appgyver.academy,arn:aws:s3:::accounts-accounts.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-accounts.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-accounts.appgyver.black,arn:aws:s3:::accounts-accounts.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-addons.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-addons.apguyver.com,arn:aws:s3:::accounts-addons.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-addons.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-addons.apgyver.com,arn:aws:s3:::accounts-addons.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-addons.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-addons.apparchitect.com,arn:aws:s3:::accounts-addons.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-addons.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-addons.appguyver.com,arn:aws:s3:::accounts-addons.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-addons.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-addons.appgyver.academy,arn:aws:s3:::accounts-addons.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-addons.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-addons.appgyver.black,arn:aws:s3:::accounts-addons.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-admin.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-admin.apguyver.com,arn:aws:s3:::accounts-admin.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-admin.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-admin.apgyver.com,arn:aws:s3:::accounts-admin.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-admin.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-admin.apparchitect.com,arn:aws:s3:::accounts-admin.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-admin.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-admin.appguyver.com,arn:aws:s3:::accounts-admin.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-admin.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-admin.appgyver.academy,arn:aws:s3:::accounts-admin.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-admin.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-admin.appgyver.black,arn:aws:s3:::accounts-admin.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-analytics.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-analytics.apguyver.com,arn:aws:s3:::accounts-analytics.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-analytics.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-analytics.apgyver.com,arn:aws:s3:::accounts-analytics.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-analytics.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-analytics.apparchitect.com,arn:aws:s3:::accounts-analytics.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-analytics.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-analytics.appguyver.com,arn:aws:s3:::accounts-analytics.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-analytics.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-analytics.appgyver.academy,arn:aws:s3:::accounts-analytics.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-analytics.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-analytics.appgyver.black,arn:aws:s3:::accounts-analytics.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-anka.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-anka.apguyver.com,arn:aws:s3:::accounts-anka.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-anka.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-anka.apgyver.com,arn:aws:s3:::accounts-anka.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-anka.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-anka.apparchitect.com,arn:aws:s3:::accounts-anka.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-anka.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-anka.appguyver.com,arn:aws:s3:::accounts-anka.appguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-anka.appgyver.academy,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-anka.appgyver.academy,arn:aws:s3:::accounts-anka.appgyver.academy,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-anka.appgyver.black,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-anka.appgyver.black,arn:aws:s3:::accounts-anka.appgyver.black,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-api.apguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-api.apguyver.com,arn:aws:s3:::accounts-api.apguyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-api.apgyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-api.apgyver.com,arn:aws:s3:::accounts-api.apgyver.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-api.apparchitect.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-api.apparchitect.com,arn:aws:s3:::accounts-api.apparchitect.com,s3,811596193553,us-west-2
aws:resource:arn:aws:s3:::accounts-api.appguyver.com,RESOURCE,STORAGE,AWS::S3::Bucket,accounts-api.appguyver.com,arn:aws:s3:::accounts-api.appguyver.com,s3,811596193553,us-west-2
