id,kind,resType,name
userName:Level6,Resource,userName,Level6
bucketName:flaws.cloud,Resource,bucketName,flaws.cloud
functionName:Level6,Resource,functionName,Level6
userName:level4,Resource,userName,level4
userName:level6,Resource,userName,level6
userName:backup,Resource,userName,backup
bucketName:level2-295510a051f3fcd006ae345973478972.flaws.cloud,Resource,bucketName,level2-295510a051f3fcd006ae345973478972.flaws.cloud
instanceId:i-4478871fdbc35f34a,Resource,instanceId,i-4478871fdbc35f34a
instanceId:i-aa2d3b42e5c6e801a,Resource,instanceId,i-aa2d3b42e5c6e801a
bucketName:level3-2644b9e749c3d14e400f847199800c14.flaws.cloud,Resource,bucketName,level3-2644b9e749c3d14e400f847199800c14.flaws.cloud
bucketName:b5677c799b465420d8e7b0a6689a0bb0c4afbc9e.flaws.cloud,Resource,bucketName,b5677c799b465420d8e7b0a6689a0bb0c4afbc9e.flaws.cloud
bucketName:config-bucket-e11723be76de,Resource,bucketName,config-bucket-e11723be76de
bucketName:flaws-logs,Resource,bucketName,flaws-logs
bucketName:level4-974134b52e7c35aebcc4b45f19113936.flaws.cloud,Resource,bucketName,level4-974134b52e7c35aebcc4b45f19113936.flaws.cloud
bucketName:theend-c1aad500c62e2a57cf12cebf93b282cf.flaws.cloud,Resource,bucketName,theend-c1aad500c62e2a57cf12cebf93b282cf.flaws.cloud
bucketName:level6-588e81908c84e62a6dd8202d535469dd.flaws.cloud,Resource,bucketName,level6-588e81908c84e62a6dd8202d535469dd.flaws.cloud
bucketName:level5-8dbc21dbbd6129208d054061ef063f04.flaws.cloud,Resource,bucketName,level5-8dbc21dbbd6129208d054061ef063f04.flaws.cloud
userName:level5,Resource,userName,level5
roleName:list_apigateways,Resource,roleName,list_apigateways
roleName:Level6,Resource,roleName,Level6
roleName:tests3access,Resource,roleName,tests3access
roleName:SecurityMonkey,Resource,roleName,SecurityMonkey
roleName:SummitRouteAudit,Resource,roleName,SummitRouteAudit
userName:SecurityAudit,Resource,userName,SecurityAudit
bucketName:medadom-app-files,Resource,bucketName,medadom-app-files
bucketName:medadom-cloudtrail,Resource,bucketName,medadom-cloudtrail
bucketName:medadom-demo-files,Resource,bucketName,medadom-demo-files
bucketName:medadom-inventory,Resource,bucketName,medadom-inventory
bucketName:medadom-v0-old-prod,Resource,bucketName,medadom-v0-old-prod
bucketName:medadom-test,Resource,bucketName,medadom-test
bucketName:medadom-tech-backup,Resource,bucketName,medadom-tech-backup
bucketName:medadom-test-bucket-backup,Resource,bucketName,medadom-test-bucket-backup
bucketName:medadom-v0-prod,Resource,bucketName,medadom-v0-prod
roleName:flaws,Resource,roleName,flaws
bucketName:accounts.appgyver.black,Resource,bucketName,accounts.appgyver.black
bucketName:accounts-accounts.appgyver.black,Resource,bucketName,accounts-accounts.appgyver.black
bucketName:accounts-addons.appgyver.black,Resource,bucketName,accounts-addons.appgyver.black
bucketName:accounts-admin.appgyver.black,Resource,bucketName,accounts-admin.appgyver.black
bucketName:accounts-anka.appgyver.black,Resource,bucketName,accounts-anka.appgyver.black
bucketName:accounts-analytics.appgyver.black,Resource,bucketName,accounts-analytics.appgyver.black
bucketName:accounts-api.appgyver.black,Resource,bucketName,accounts-api.appgyver.black
bucketName:accounts-argus.appgyver.black,Resource,bucketName,accounts-argus.appgyver.black
bucketName:accounts-auth.appgyver.black,Resource,bucketName,accounts-auth.appgyver.black
bucketName:accounts-beta.appgyver.black,Resource,bucketName,accounts-beta.appgyver.black
bucketName:accounts-automation.appgyver.black,Resource,bucketName,accounts-automation.appgyver.black
bucketName:accounts-black.appgyver.black,Resource,bucketName,accounts-black.appgyver.black
bucketName:accounts-blog.appgyver.black,Resource,bucketName,accounts-blog.appgyver.black
bucketName:accounts-builder.appgyver.black,Resource,bucketName,accounts-builder.appgyver.black
bucketName:accounts-build.appgyver.black,Resource,bucketName,accounts-build.appgyver.black
bucketName:accounts-cloud.appgyver.black,Resource,bucketName,accounts-cloud.appgyver.black
bucketName:accounts-components.appgyver.black,Resource,bucketName,accounts-components.appgyver.black
bucketName:accounts-composer2.appgyver.black,Resource,bucketName,accounts-composer2.appgyver.black
bucketName:accounts-composer.appgyver.black,Resource,bucketName,accounts-composer.appgyver.black
bucketName:accounts-daisy.appgyver.black,Resource,bucketName,accounts-daisy.appgyver.black
bucketName:accounts-datastore.appgyver.black,Resource,bucketName,accounts-datastore.appgyver.black
bucketName:accounts-debugger.appgyver.black,Resource,bucketName,accounts-debugger.appgyver.black
bucketName:accounts-docs.appgyver.black,Resource,bucketName,accounts-docs.appgyver.black
bucketName:accounts-editor.appgyver.black,Resource,bucketName,accounts-editor.appgyver.black
bucketName:accounts-forums.appgyver.black,Resource,bucketName,accounts-forums.appgyver.black
bucketName:accounts-governance.appgyver.black,Resource,bucketName,accounts-governance.appgyver.black
bucketName:accounts-frontend.appgyver.black,Resource,bucketName,accounts-frontend.appgyver.black
bucketName:accounts-guides.appgyver.black,Resource,bucketName,accounts-guides.appgyver.black
bucketName:accounts-hack.appgyver.black,Resource,bucketName,accounts-hack.appgyver.black
bucketName:accounts-inbound.appgyver.black,Resource,bucketName,accounts-inbound.appgyver.black
bucketName:accounts-kovanen.appgyver.black,Resource,bucketName,accounts-kovanen.appgyver.black
bucketName:accounts-legacy.appgyver.black,Resource,bucketName,accounts-legacy.appgyver.black
bucketName:accounts-letsencrypt.appgyver.black,Resource,bucketName,accounts-letsencrypt.appgyver.black
bucketName:accounts-livepreview.appgyver.black,Resource,bucketName,accounts-livepreview.appgyver.black
bucketName:accounts-payments.appgyver.black,Resource,bucketName,accounts-payments.appgyver.black
bucketName:accounts-platform.appgyver.black,Resource,bucketName,accounts-platform.appgyver.black
bucketName:accounts-preview.appgyver.black,Resource,bucketName,accounts-preview.appgyver.black
bucketName:accounts-proxy.appgyver.black,Resource,bucketName,accounts-proxy.appgyver.black
bucketName:accounts-reloaded.appgyver.black,Resource,bucketName,accounts-reloaded.appgyver.black
bucketName:accounts-restfile.appgyver.black,Resource,bucketName,accounts-restfile.appgyver.black
bucketName:accounts-ruukkipct.appgyver.black,Resource,bucketName,accounts-ruukkipct.appgyver.black
bucketName:accounts-server.appgyver.black,Resource,bucketName,accounts-server.appgyver.black
bucketName:accounts-secure.appgyver.black,Resource,bucketName,accounts-secure.appgyver.black
bucketName:accounts-share.appgyver.black,Resource,bucketName,accounts-share.appgyver.black
bucketName:accounts-status.appgyver.black,Resource,bucketName,accounts-status.appgyver.black
bucketName:accounts-support.appgyver.black,Resource,bucketName,accounts-support.appgyver.black
bucketName:accounts-tracker.appgyver.black,Resource,bucketName,accounts-tracker.appgyver.black
bucketName:accounts-transdolan.appgyver.black,Resource,bucketName,accounts-transdolan.appgyver.black
bucketName:accounts-ui.appgyver.black,Resource,bucketName,accounts-ui.appgyver.black
bucketName:accounts-www.appgyver.black,Resource,bucketName,accounts-www.appgyver.black
bucketName:accounts-updates.appgyver.black,Resource,bucketName,accounts-updates.appgyver.black
bucketName:accounts-www2.appgyver.black,Resource,bucketName,accounts-www2.appgyver.black
bucketName:accounts-xml.appgyver.black,Resource,bucketName,accounts-xml.appgyver.black
bucketName:addons.appgyver.black,Resource,bucketName,addons.appgyver.black
bucketName:addons-addons.appgyver.black,Resource,bucketName,addons-addons.appgyver.black
bucketName:addons-accounts.appgyver.black,Resource,bucketName,addons-accounts.appgyver.black
bucketName:addons-admin.appgyver.black,Resource,bucketName,addons-admin.appgyver.black
bucketName:addons-analytics.appgyver.black,Resource,bucketName,addons-analytics.appgyver.black
bucketName:addons-anka.appgyver.black,Resource,bucketName,addons-anka.appgyver.black
bucketName:addons-api.appgyver.black,Resource,bucketName,addons-api.appgyver.black
bucketName:addons-argus.appgyver.black,Resource,bucketName,addons-argus.appgyver.black
bucketName:addons-auth.appgyver.black,Resource,bucketName,addons-auth.appgyver.black
bucketName:addons-automation.appgyver.black,Resource,bucketName,addons-automation.appgyver.black
bucketName:addons-black.appgyver.black,Resource,bucketName,addons-black.appgyver.black
bucketName:addons-beta.appgyver.black,Resource,bucketName,addons-beta.appgyver.black
bucketName:addons-blog.appgyver.black,Resource,bucketName,addons-blog.appgyver.black
bucketName:addons-build.appgyver.black,Resource,bucketName,addons-build.appgyver.black
bucketName:addons-builder.appgyver.black,Resource,bucketName,addons-builder.appgyver.black
bucketName:addons-cloud.appgyver.black,Resource,bucketName,addons-cloud.appgyver.black
bucketName:addons-components.appgyver.black,Resource,bucketName,addons-components.appgyver.black
bucketName:addons-composer2.appgyver.black,Resource,bucketName,addons-composer2.appgyver.black
bucketName:addons-composer.appgyver.black,Resource,bucketName,addons-composer.appgyver.black
bucketName:addons-daisy.appgyver.black,Resource,bucketName,addons-daisy.appgyver.black
bucketName:addons-datastore.appgyver.black,Resource,bucketName,addons-datastore.appgyver.black
bucketName:addons-docs.appgyver.black,Resource,bucketName,addons-docs.appgyver.black
bucketName:addons-debugger.appgyver.black,Resource,bucketName,addons-debugger.appgyver.black
bucketName:addons-editor.appgyver.black,Resource,bucketName,addons-editor.appgyver.black
bucketName:addons-forums.appgyver.black,Resource,bucketName,addons-forums.appgyver.black
bucketName:addons-frontend.appgyver.black,Resource,bucketName,addons-frontend.appgyver.black
bucketName:addons-governance.appgyver.black,Resource,bucketName,addons-governance.appgyver.black
bucketName:addons-guides.appgyver.black,Resource,bucketName,addons-guides.appgyver.black
bucketName:addons-hack.appgyver.black,Resource,bucketName,addons-hack.appgyver.black
bucketName:addons-inbound.appgyver.black,Resource,bucketName,addons-inbound.appgyver.black
bucketName:addons-kovanen.appgyver.black,Resource,bucketName,addons-kovanen.appgyver.black
bucketName:addons-legacy.appgyver.black,Resource,bucketName,addons-legacy.appgyver.black
bucketName:addons-livepreview.appgyver.black,Resource,bucketName,addons-livepreview.appgyver.black
bucketName:addons-letsencrypt.appgyver.black,Resource,bucketName,addons-letsencrypt.appgyver.black
bucketName:addons-payments.appgyver.black,Resource,bucketName,addons-payments.appgyver.black
bucketName:addons-preview.appgyver.black,Resource,bucketName,addons-preview.appgyver.black
bucketName:addons-platform.appgyver.black,Resource,bucketName,addons-platform.appgyver.black
bucketName:addons-proxy.appgyver.black,Resource,bucketName,addons-proxy.appgyver.black
bucketName:addons-reloaded.appgyver.black,Resource,bucketName,addons-reloaded.appgyver.black
bucketName:addons-ruukkipct.appgyver.black,Resource,bucketName,addons-ruukkipct.appgyver.black
bucketName:addons-restfile.appgyver.black,Resource,bucketName,addons-restfile.appgyver.black
bucketName:addons-secure.appgyver.black,Resource,bucketName,addons-secure.appgyver.black
bucketName:addons-server.appgyver.black,Resource,bucketName,addons-server.appgyver.black
bucketName:addons-share.appgyver.black,Resource,bucketName,addons-share.appgyver.black
bucketName:addons-status.appgyver.black,Resource,bucketName,addons-status.appgyver.black
bucketName:addons-support.appgyver.black,Resource,bucketName,addons-support.appgyver.black
bucketName:addons-transdolan.appgyver.black,Resource,bucketName,addons-transdolan.appgyver.black
bucketName:addons-tracker.appgyver.black,Resource,bucketName,addons-tracker.appgyver.black
bucketName:addons-ui.appgyver.black,Resource,bucketName,addons-ui.appgyver.black
