id,kind,issuedByRole,issuedAt
ASIA16T5GO4J6CAU1QPH,Session,arn:aws:iam::811596193553:role/flaws,2020-09-21T23:02:39Z
ASIAS6660J3R0HIE0QJW,Session,arn:aws:iam::811596193553:role/flaws,2020-09-21T23:02:39Z
ASIAJWWT8K6DUA6UYFWA,Session,arn:aws:iam::811596193553:role/flaws,2020-09-21T23:57:47Z
ASIAEIO1ZENKIPZHL1O1,Session,arn:aws:iam::811596193553:role/flaws,2020-09-21T23:57:47Z
ASIASDI2EOY1FIJNZGZW,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T00:58:42Z
ASIA5KT9JV0WYYQB54X3,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T00:58:42Z
ASIANEXJJX06SEYRWOIU,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T01:57:00Z
ASIADDYD59YHB5FT84HC,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T01:57:00Z
ASIAJCN96WHW30442FQH,Session,arn:aws:iam::811596193553:role/service-role/config-role-us-west-2,2020-09-22T02:10:54Z
ASIA9ZF6O6K1PB8NCX0Y,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T02:56:41Z
ASIAK3MYVWH1B0ZCQW0M,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T02:56:41Z
ASIAUS6SNPE1EUYKLYIS,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T03:57:16Z
ASIAH8VTYZL5NHF7KPUB,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T03:57:16Z
ASIA797FJRNHFJYFOVRA,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T04:53:32Z
ASIAG4H6OL3BD9GOTSLF,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T04:53:32Z
ASIABL7WC83R1XF3R8QJ,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T05:52:23Z
ASIAFEOORZLPPEF71DEZ,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T05:52:23Z
ASIAPAM8XI3QXFZ63TR4,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T06:54:53Z
ASIA6R4AIUWNG0ZKHUZS,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T06:54:53Z
ASIAQU3ALWRYZ6M4OPH9,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T07:54:55Z
ASIAT0YLARRLIDGQ7W6W,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T07:54:55Z
ASIA77GDMDTBLZA5R79P,Session,arn:aws:iam::811596193553:role/service-role/config-role-us-west-2,2020-09-22T08:10:33Z
ASIAYHZ34TO045PCORCL,Session,arn:aws:iam::811596193553:role/aws-service-role/config-multiaccountsetup.amazonaws.com/AWSServiceRoleForConfigMultiAccountSetup,2020-09-22T08:38:55Z
ASIAI70QQ97O211ESDXP,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T08:51:33Z
ASIAECN8AQNEMPDR7NLM,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T08:51:33Z
ASIAZZEEIJ51BCQG3VZE,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T09:54:31Z
ASIAKNB3ESNHK9BJ6DRD,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T09:54:31Z
ASIABWLKL9Z9VCOD2Q79,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T10:55:39Z
ASIAMS3J31MUO40A80FO,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T10:55:39Z
ASIA3VPA4MEPAQA1SWGA,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T11:56:27Z
ASIAZQ78VTJFAY5UVEDX,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T11:56:27Z
ASIAMCPQ8XN43N2FK7A1,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T12:59:59Z
ASIAMYE9NYVY1HQ7T8W5,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T12:59:59Z
ASIAYL7GS9UJ3JBMPB83,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T14:01:42Z
ASIAD7JC9CDVIQU43CR3,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T14:01:42Z
ASIA1RBSAKLKT175V1HA,Session,arn:aws:iam::811596193553:role/service-role/config-role-us-west-2,2020-09-22T14:12:00Z
ASIA9I5HW0VCQ9Q2NO1C,Session,arn:aws:iam::811596193553:role/service-role/Level6,2020-09-22T14:32:30Z
ASIADE5H3F1XFZ4PX60M,Session,arn:aws:iam::811596193553:role/service-role/Level6,2020-09-22T14:32:30Z
ASIAP2D3FDBCQQ4OSZEG,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T15:00:22Z
ASIA4AQMM2CA88NNG9WI,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T15:00:22Z
ASIA6EO840EQIXAB0LNV,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T16:00:36Z
ASIAERVTXUN8UD2HD55I,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T16:00:36Z
ASIAMMJQF2300WUTIP0Z,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T17:05:25Z
ASIAGDT81UC4FNNJ381P,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T17:05:25Z
ASIA006626PN2MDP90W0,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T18:00:30Z
ASIABRCOMBUJ03TUSYCY,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T18:00:30Z
ASIAE5ZR93PWW85QKSOI,Session,arn:aws:iam::811596193553:role/service-role/Level6,2020-09-22T18:04:43Z
ASIA3AFBT1XGEZAVLQHU,Session,arn:aws:iam::811596193553:role/service-role/Level6,2020-09-22T18:04:43Z
ASIACZKNKKBGR2NTWDLJ,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T19:00:01Z
ASIAIXPGHDD7D5K7HQKT,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T19:00:01Z
ASIAG06HNIP53RS6JAWI,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T20:04:39Z
ASIAGT55NSQSYJQKM9MI,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T20:04:39Z
ASIA1L5GG5NSUZ8SCLQF,Session,arn:aws:iam::811596193553:role/service-role/config-role-us-west-2,2020-09-22T20:12:53Z
ASIA0D3LP87WJUZWA62U,Session,arn:aws:iam::811596193553:role/flaws,2020-09-22T21:05:54Z
